X,Y,OBJECTID,NAME,ADDRESS,UNIT_SUITE,ZIP_4,CONTACT,SEC_NAME,NAICS,CENSUS_TRACT,WARD
-77.0154890372678,38.8836013284542,1,E H HARRIMAN MEMORIAL AWARDS INSTITUTE,425 THIRD ST SW STE 1000,,20024-3206,AAR,,712120,010500,6
-76.9912992258727,38.8854602814923,2,LATROBE CHAPTER SOCIETY OF ARCHITECTURAL HISTORIANS,322 11TH ST SE,,20003-2103,TANGIRES,,710000,006700,6
-76.982968927318,38.9202506246356,3,ARCHAEOLOGY IN THE COMMUNITY,2231 14TH ST NE,,20018-3501,ALEXANDRA JONES,,710000,009102,5
-77.011274495491,38.8945690609474,4,VICTIMS OF COMMUNISM MEMORIAL FOUNDATION INC,300 NEW JERSEY AVE NW,900,20001-2271,,,712120,005900,6
-76.9877732889449,38.8670059923147,5,AMERICAN POETRY MUSEUM,1227 GOODHOPE ROAD SE,10,20020-6907,JON WEST-BEY,,712110,007503,8
-77.0605759005731,38.9400290476107,6,CAPITAL HEARINGS,3901 CONNECTICUT AVE NW,202,20008-6402,DILEEP SRIHARI,,711130,001302,3
-77.080465483753,38.9267362788483,7,UNITED STATES COMMISSION ON MILITARY HISTORY,2801 NEW MEXICO AVE NW,1118,20007-3912,ANN VON LUTTICHAU,,712110,000701,3
-77.0413683534801,38.9079994182139,8,LINGUISTIC SOCIETY OF AMERICA,1325 18TH ST NW,211,20036-6502,,,710000,010700,2
-77.0724201724496,38.9294791688223,9,CIRCLE SINGERS INC,3001 WISCONSIN AVE NW,,20016-5069,ST ALBANS EPISCOPAL CHURCH,,711130,000400,3
-77.07867641511,38.9364413399905,10,EL TEATRO DE DANZA CONTEMPORANEA DE EL SALVADOR,3971 LANGLEY COURT NW,,20016-5541,MIYA HISAKA,,710000,001002,3
-77.0129225483586,38.9167959156012,11,KANKOURAN WEST AFRICAN DANCE CO,118 U ST NW,,20001-1606,,,711100,003301,5
-77.0299789112147,38.9103810091446,12,THOMAS AND BIRDIE C SMITH ARTS FOUNDATION,14 LOGAN CIR NW,,20005-3727,THERRELL C SMITH,,813219,005001,2
-77.0357501267314,38.9334872704594,13,LEAN & HUNGRY THEATRE,1525 NEWTON ST NW,,20010-3103,ALEX ZAVISTOVICH,LEAN & HUNGRY THEATER,711110,002801,1
-77.0833421784595,38.9464992003739,14,THE BALLET STUDIO,4227 YUMA ST NW,,20016-2025,BARBARA GASKILL,,711120,001001,3
-77.0213050958353,38.9647773560913,15,DC PAN JAMMERS INC,602 RITTENHOUSE STREETNW,,20011-0000,EMLYN HAREWOOD,,711130,001901,4
-77.0319243312082,38.9850436415482,16,FILMMAKERS FOR TOMORROW FOUNDATION,1347 KALMIA RD NW,,20012-1444,MILINDA BALTHROP,,512110,001600,4
-77.0423881348151,38.94000552934,17,OPERA CAMERATA OF WASHINGTON DC INC,1819 SHEPHERD ST NW,,20011-5343,STEFAN LOPATKIEWICZ,,711130,002600,4
-77.0441526846465,38.901601657361,18,URUGUAY CULTURAL FOUNDATION FOR THE ARTS,1913 EYE ST NW,,20006-2106,CABRIELLA E IZAGUIRRE FERNANDEZ,,813219,010700,2
-77.0374118869823,38.9029306713772,19,INTERNATIONAL WOMENS MEDIA FOUNDATION,1625 K STREET NW,,20006-1604,ELISA MUNOZ,,813920,010700,2
-77.0369603074932,38.9042627004388,20,SPLIT THIS ROCK INC,1112 16TH ST NW,600,20036-4814,MELISSA TUCKEY,,710000,010700,2
-77.0810156618962,38.9506672565108,21,CHILDRENS CHORUS OF WASHINGTON,4626 WISCONSIN AVE NW,100,20016-4625,JOAN GREGORYK,,711130,001001,3
-77.0843978236443,38.9531247538582,22,MARU MONTERO DANCE CENTER,4312 ELLICOTT ST NW,,20016-4029,,, ,001001,3
-77.0446061992316,38.9080302065099,23,HEURICH HOUSE FOUNDATION,1307 NEW HAMPSHIRE AVENUE NW,,20036-1531,,,712110,010700,2
