2016 rank,City,State[5],2016 estimate,2010 Census,Change,2016 land area,2016 population density,Location
1,New York[6],New York,"8,537,673","8,175,133",+4.43%,301.5sqmi,780.9km2,"28,317/sqmi","10,933/km2",403949N 735619W / 40.6635N 73.9387W
2,Los Angeles,California,"3,976,322","3,792,621",+4.84%,468.7sqmi,"1,213.9km2","8,484/sqmi","3,276/km2",340110N 1182439W / 34.0194N 118.4108W
3,Chicago,Illinois,"2,704,958","2,695,598",+0.35%,227.3sqmi,588.7km2,"11,900/sqmi","4,600/km2",415015N 874054W / 41.8376N 87.6818W
4,Houston[7],Texas,"2,303,482","2,100,263",+9.68%,637.5sqmi,"1,651.1km2","3,613/sqmi","1,395/km2",294712N 952327W / 29.7866N 95.3909W
5,Phoenix,Arizona,"1,615,017","1,445,632",+11.72%,517.6sqmi,"1,340.6km2","3,120/sqmi","1,200/km2",333420N 1120524W / 33.5722N 112.0901W
6,Philadelphia[8],Pennsylvania,"1,567,872","1,526,006",+2.74%,134.2sqmi,347.6km2,"11,683/sqmi","4,511/km2",400034N 750800W / 40.0094N 75.1333W
7,San Antonio,Texas,"1,492,510","1,327,407",+12.44%,461.0sqmi,"1,194.0km2","3,238/sqmi","1,250/km2",292821N 983130W / 29.4724N 98.5251W
8,San Diego,California,"1,406,630","1,307,402",+7.59%,325.2sqmi,842.3km2,"4,325/sqmi","1,670/km2",324855N 1170806W / 32.8153N 117.1350W
9,Dallas,Texas,"1,317,929","1,197,816",+10.03%,340.9sqmi,882.9km2,"3,866/sqmi","1,493/km2",324736N 964559W / 32.7933N 96.7665W
10,San Jose,California,"1,025,350","945,942",+8.39%,177.5sqmi,459.7km2,"5,777/sqmi","2,231/km2",371748N 1214908W / 37.2967N 121.8189W
11,Austin,Texas,"947,890","790,390",+19.93%,312.7sqmi,809.9km2,"3,031/sqmi","1,170/km2",301814N 974516W / 30.3039N 97.7544W
12,Jacksonville[9],Florida,"880,619","821,784",+7.16%,747.4sqmi,"1,935.8km2","1,178/sqmi",455/km2,302013N 813942W / 30.3369N 81.6616W
13,San Francisco[10],California,"870,887","805,235",+8.15%,46.9sqmi,121.5km2,"18,569/sqmi","7,170/km2",374338N 1230156W / 37.7272N 123.0322W
14,Columbus,Ohio,"860,090","787,033",+9.28%,218.5sqmi,565.9km2,"3,936/sqmi","1,520/km2",395907N 825905W / 39.9852N 82.9848W
